label,text
FALSE:, Brazil’s health minister says cases with no confirmation of COVID-19 won’t be considered on death toll.
FALSE:, Argentine President Alberto Fernández said that he respects distancing from people and that “all” his selfies are “one and a half meters away”.
FALSE:, Brazil’s health minister says cases with no confirmation of COVID-19 won’t be considered on death toll.
MISLEADING:," A picture of the Italian Prime Minister Giuseppe Conte, allegedly taken at the “Stati Generali” conference organized in Rome during the Covid-19 pandemic. In the picture Conte is eating pizza while not respecting social distancing norms or any other safety measure"
FALSE:," COVID-19 is disseminated intravascular coagulation, or pulmonary thrombosis, and ventilators and intensive care units (ICUs) were “never needed” in treating the disease because it can be fought with “antibiotics, anti-inflammatories and anticoagulants.” The disease is also caused by a bacteria that gets amplified by 5G technology."
FALSE:, Patients dancing in NSCI Quarantine center in Mumbai.
FALSE:, “FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.”
FALSE:, “George Floyd’s ‘murder’ filmed before COVID-19.”
FALSE:, Maharashtra (India)’s CM Uddhav Thackeray announced reimplementation of lockdown.
FALSE:," A doctor at the SGRH hospital in New Delhi, India prescribed hydroxychloroquine tablet to prevent COVID-19 infection."
FALSE:, Video shows COVID-19 patients lying dead on the ground in India.
misleading:," A purported government resolution has been shared in multiple Facebook posts in June 2020 claiming that the Philippine government has approved a motion to reimpose strict lockdown measures in Metro Manila, Cebu and Laguna."
MISLEADING:," A picture showing Copacabana beach, in Brazil, full of crosses which make it look like a graveyard."
FALSE:, Facebook is using your pictures and posts in lawsuits against it amid COVID-19 pandemic.
FALSE:, Philippines Vice President Leni Robredo questioned President Rodrigo Duterte’s imposition of a curfew in Metro Manila amid the COVID-19 pandemic.
FALSE:, False positive result rate in PCR tests is 50 percent.
FALSE:," Lockdown policies are responsible for the high death rates in Spain, Belgium, Italy and France."
FALSE:, Former Brazilian presidential candidate Fernando Haddad celebrates his birthday with a bunch of guests during the COVID-19 pandemic.
FALSE:, Indian boy predicted the coronavirus in 2019.
FALSE:, Government of Colombia launched a survey on social media called “Return to face-to-face classes in schools and universities”.
FALSE:, A graphic of Zee News TV channels claims that the Home Ministry of India has hinted at a complete lockdown in the country after 15 June. Railway and airway will come to a halt.
FALSE:, Two persons with coronavirus escaped from a hospital in Bogota.
FALSE:, False positive result rate in PCR tests is 50 percent.
FALSE:," The photo of a beach with private and isolated compartments as if it were somewhere in the Algarve, the southern region of Portugal. In addition, it is related to security measures during de-escalation by the coronavirus."
MISLEADING:, Mouthwash prevents COVID19
FALSE:, Delhi public school selling face mask to students.
FALSE:," A Facebook post that says that masks incubate cancer and that the risks of using them are hypoxia (lack of oxygen in the body) and hypercapnia (excess carbon dioxide), which could “cause poisoning in the flow blood, as well as physical and mental disorders.”"
FALSE:, The list shows the medicines issued by a doctor in Gangaram (India) hospital to alleviate coronavirus symptoms.
FALSE:, The WHO banned autopsies and Italy changed the protocols for the coronavirus.
FALSE:," A video with a group of people cutting the bodies of various carcasses and vultures crowding around them to feed. In the text included in the video, the following is said: “This is what the media does not want you to know, in Asia they do not know what to do with so many deaths due to the coronavirus, they bury them, they burn them and now they give them to them feeding the vultures.”"
FALSE:, The text claims that there are 9 newly infected with coronavirus in Bitola.
FALSE:," Under the influence of hot weather, i.e., high air temperature, the number of patients with coronavirus was supposed to decrease. The novel coronavirus, if it even exists, dies under the high temperature."
FALSE:, Ivermectin is the cure for COVID-19.
FALSE:, A graphic of Zee News TV channels claims that the Home Ministry of India has hinted at a complete lockdown in the country after 15 June. Railway and airway will come to a halt.
FALSE:, Former Brazilian presidential candidate Fernando Haddad celebrates his birthday with a bunch of guests during the COVID-19 pandemic.
FALSE:, Government of Colombia launched a survey on social media called “Return to face-to-face classes in schools and universities”.
FALSE:," A Facebook post that says that masks incubate cancer and that the risks of using them are hypoxia (lack of oxygen in the body) and hypercapnia (excess carbon dioxide), which could “cause poisoning in the flow blood, as well as physical and mental disorders.”"
FALSE:, The text claims that there are 9 newly infected with coronavirus in Bitola.
FALSE:, Indian boy predicted the coronavirus in 2019.
FALSE:," H1N1 caused more deaths during the 2009 pandemic than COVID-19. Yet, nobody talked about it."
FALSE:," “Corona Virus claims a black belt. Chuck Norris, Dead at 80.”"
FALSE:, Irish Prime Minister Leo Varadkar is going to the Supreme Court to make the coronavirus vaccine mandatory for all people living in Ireland.
FALSE:," São Paulo’s governor, João Doria, admits deaths caused by COVID-19 are recorded twice."
FALSE:, Image of patients lying on rope-beds out in the open in a COVID-19 isolation ward in Pakistan.
FALSE:, A message stating that temperature checks can be dangerous for the eyes.
FALSE:, Video shows man holding bodies in sacks with only one hand.
FALSE:, A TV news screenshot says the home ministry of India has indicated that the country will be under lockdown after 15 June.
FALSE:, The image shows COVID-19 patients and the state of coronavirus isolation ward in Pakistan.
FALSE:," “Corona Virus claims a black belt. Chuck Norris, Dead at 80.”"
FALSE:," São Paulo’s governor, João Doria, admits deaths caused by COVID-19 are recorded twice."
FALSE:, Zee News claims that lockdown will apply again from 15 June in India.
FALSE:, A message stating that temperature checks can be dangerous for the eyes.
FALSE:," “The ‘biological’ lab in Wuhan where the COVID-19 virus was created was ‘funded’ by President Barak Hussein Obama in 2015 to the tune of $3,800,000 American dollars."
FALSE:," Images of a man dressed in a hospital gown who seems to run away jumping a wall of the building. According to the caption, this man reported that he had gone to the health center to heal a wound in his hand when they assured him that he should be admitted for COVID-19 and that when “they were going to connect a ventilator, he decided to jump from the second floor and escape”."
FALSE:," A police officer in Bhagalpur Jail, India contracted coronavirus."
misleading:," A Facebook post shared more than 25,000 times says face masks should only be worn by medical professionals or people who have become ill during the coronavirus pandemic."
FALSE:," Prominant National news channel (Zee News) newscard stating Lockdown will be extended again from June 15th, 2020."
FALSE:," Spiritual leader cuts off tongue of a young girl as an act of sacrifice to ward off COVID in Banda, Uttar Pradesh, India."
Mostly False:, “The CDC just confirmed a 0.2% death-rate for COVID19.”
MISLEADING:, WHO states new coronavirus does not spread via the asymptomatic carriers.
FALSE:, Indian Health Minister is playing a game during the COVID-19 pandemic.
FALSE:, Image claiming to be Sri Lankan Soldiers and Police having their meals on the streets during COVID-19 pandemic.
FALSE:," People who arrived at Tirur, Kerala (India) from Mumbai in train, escaped from the sight of the authorities to avoid quarantine."
FALSE:, Irish Prime Minister Leo Varadkar is going to the Supreme Court to make the coronavirus vaccine mandatory for all people living in Ireland.
FALSE:, Video shows man holding bodies in sacks with only one hand.
MISLEADING:, WHO states new coronavirus does not spread via the asymptomatic carriers.
FALSE:, Zee News claims that lockdown will apply again from 15 June in India.
FALSE:, Homeopathic doctor in Colombia gives out a prescription that according to him cures the coronavirus.
MISLEADING:, A video has been viewed thousands of times in multiple posts on Facebook and YouTube alongside a claim it shows that Jakarta Governor Anies Baswedan received an international award for “the best governor” in handling the novel coronavirus pandemic.
FALSE:, The video allegedly predicted what would happen in 2020 beforehand.
FALSE:, The Brazilian National Congress approved a law which demands you to wear maks inside your house during the COVID-19 pandemic. Police officers will be allowed to enter your house to verify if you’re wearing a mask or not.
FALSE:, Pigeon feces slurry can cure coronavirus.
FALSE:," An audio that claims that a group of criminals disguised as doctors robbed 3 houses in Flores, Argentina."
Partly false:," Asymptomatic people are very rarely contagious, said the WHO."
FALSE:, Facebook posts circulating in Africa claim France has announced a ban on Africans travelling to Europe if they refuse “the European vaccine” for COVID-19.
FALSE:, A video of an Indian boy who predicted the coronavirus in 2019.
Mostly false:, The WHO changed its mind about masks and now says that they can increase the risk of infection.
FALSE:, PCR tests were conducted on a journalist and his crew who attended late Minister Thondaman’s funeral as they had COVID19 symptoms.
FALSE:, The Brazilian National Congress approved a law which demands you to wear maks inside your house during the COVID-19 pandemic. Police officers will be allowed to enter your house to verify if you’re wearing a mask or not.
MISLEADING:, A video has been viewed thousands of times in multiple posts on Facebook and YouTube alongside a claim it shows that Jakarta Governor Anies Baswedan received an international award for “the best governor” in handling the novel coronavirus pandemic.
FALSE:," Singer Miguel Bosé’s tweets involving Bill Gates, vaccines and 5G."
FALSE:, The video allegedly predicted what would happen in 2020 beforehand.
FALSE:, Dr Eliyantha White had developed a special medicine for COVID19 and was planning to use it on Sri Lankan Navy personnel with the approval of the Prime Minister.
FALSE:, Facebook posts circulating in Africa claim France has announced a ban on Africans travelling to Europe if they refuse “the European vaccine” for COVID-19.
FALSE:," An audio that claims that a group of criminals disguised as doctors robbed 3 houses in Flores, Argentina."
FALSE:, Pigeon feces slurry can cure coronavirus.
FALSE:," Spanish musician Miguel Bosé posted a Twitter thread pointing to the expulsion of the Gates Foundation and GAVI ‘pharmaceutical’ from India, polio and HPV vaccines and the implementation of a microchip vaccine."
FALSE:, Homeopathic doctor in Colombia gives out a prescription that according to him cures the coronavirus.
FALSE:," A message accompanied by a photo of a poster from the Government delegation in Navarra, Spain, stating “international vaccination center”. According to the message that is circulating, “these ‘International Vaccination’ posters are beginning to be placed in government delegations, it will be the protocol of the new normal” after the quarantine of the coronavirus. It also says that the virus “was only an excuse to get us a mRNA (genetic software) vaccine synchronized to a digital identity.”"
FALSE:," During an interview to an Australian newspaper, a WHO official said the institution never recomended social isolation."
FALSE:," The state government of Pernambuco, Brazil, shipped boxes of alcohol-based hand sanitizers to state hospitals, but there were only two bottles and a lot of sand on each box."
FALSE:, The WHO stated that asymptomatic cases of COVID-19 do not contribute to the spread the disease.
FALSE:," The state government of Pernambuco, Brazil, shipped boxes of alcohol-based hand sanitizers to state hospitals, but there were only two bottles and a lot of sand on each box."
FALSE:, China is now using special glasses instead of laboratory equipment to screen for coronavirus.
Mostly False:, There has been no death due to Covid-19 in Israel as they mix lemon and baking soda in their tea. This combination kills coronavirus.
FALSE:, The body in this video is a Covid-19 patient whose internal organs have been removed.
FALSE:, COVID-19 vaccines from the US will have microchips.
FALSE:, Vodka can reduce the risk of Coronavirus infection.
FALSE:, A video of a 14-year-old Indian boy named Abhigya Anand who was alleged to have predicted the coronavirus in 2019.
PARTLY FALSE:, CNBC reported that “Coronavirus patients without symptoms aren’t driving the spread of the virus” based on remarks by a WHO official at a press briefing on 8 June 2020.
MISLEADING:, An article stating that utility bills will be increased with a “Covid tax” aimed at helping people in need in Italy.
FALSE:," During an interview to an Australian newspaper, a WHO official said the institution never recomended social isolation."
No evidence:," Travel restrictions between Denmark and Sweden are debated at the moment, and several Danish and Swedish politicians claim that the infection pressure for covid-19 is lower in Skåne in Sweden than in the Capital Region of Denmark."
FALSE:, Swine flu virus is more dangerous than the novel coronavirus.
FALSE:, DPS (Delhi Public School) is selling masks with its logo printed on it to students for Rs.400 each.
FALSE:," A message accompanied by a photo of a poster from the Government delegation in Navarra, Spain, stating “international vaccination center”. According to the message that is circulating, “these ‘International Vaccination’ posters are beginning to be placed in government delegations, it will be the protocol of the new normal” after the quarantine of the coronavirus. It also says that the virus “was only an excuse to get us a mRNA (genetic software) vaccine synchronized to a digital identity.”"
FALSE:, COVID-19 vaccines from the US will have microchips.
FALSE:, China is now using special glasses instead of laboratory equipment to screen for coronavirus.
Mostly False:, There has been no death due to Covid-19 in Israel as they mix lemon and baking soda in their tea. This combination kills coronavirus.
FALSE:, Bill Gates was expelled from India due to his Polio vaccines.
MISLEADING:, An article stating that utility bills will be increased with a “Covid tax” aimed at helping people in need in Italy.
Misleading:, “Bald men are at greater risk of getting infected with coronavirus”
FALSE:," A message accompanied by a photo of a poster from the Government delegation in Navarra, Spain, stating “international vaccination center”. According to the message that is circulating, “these ‘International Vaccination’ posters are beginning to be placed in government delegations, it will be the protocol of the new normal” after the quarantine of the coronavirus. It also says that the virus “was only an excuse to get us a mRNA (genetic software) vaccine synchronized to a digital identity.”"
FALSE:, The vaccine against the new coronavirus has existed since 2001.
FALSE:, A WhatsApp message that states that COVID-19 means “Certificate of identification of vaccination with artificial intelligence”; which is intended through the disease to carry out an international plan for the control and reduction of populations.
FALSE:, An image of the Argentinian President Alberto Fernández with officials during the pandemic without masks and without respecting social distancing.
FALSE:, The Brazilian Ministry of Health forbade the expression “COVID-19 suspect” to be used on death certificates.
FALSE:," A message that states that “An asymptomatic person is a HEALTHY person. He is someone who has a virus but his body developed antibodies. This is called” attenuated virus “, which means that he dominated the virus thanks to his healthy lifestyle habits. This person does not spread the virus, but communicates antibodies to the rest of the people and generates herd immunity."
FALSE:, Video shows a group of Muslim devotees spitting deliberately to spread coronavirus.
FALSE:," Former Brazilian presidential candidate Fernando Haddad threw a birthday party, with guests, while advocating for lockdown."
FALSE:, A WhatsApp message claiming that Italian supermarket chain Conad is offering free shopping vouchers for €1.000 in Italy.
FALSE:, Video shows a group of Muslim devotees spitting deliberately to spread coronavirus.
FALSE:," Wearing masks for the coronavirus “decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.”"
FALSE:," A message that states that “An asymptomatic person is a HEALTHY person. He is someone who has a virus but his body developed antibodies. This is called” attenuated virus “, which means that he dominated the virus thanks to his healthy lifestyle habits. This person does not spread the virus, but communicates antibodies to the rest of the people and generates herd immunity."
FALSE:, The Brazilian Ministry of Health forbade the expression “COVID-19 suspect” to be used on death certificates.
FALSE:, Facebook posts shared thousands of times claim that the novel coronavirus disease is caused by bacteria and can be cured with household painkillers. The posts also claim that Italian doctors found a cure for COVID-19
MISLEADING:," A picture with an old man sitting on the ground, and a caption saying that while he was hospitalized for Covid-19 his house was occupied by a Roma family."
FALSE:," Donald Trump published on his Twitter account that Brazilian president “Javier” Bolsonaro is a “great guy”, but that his COVID-19 policies are leading to a “genocide”."
FALSE:, The vaccine against the new coronavirus has existed since 2001.
FALSE:, Healthcare workers in this video turn their backs when the WHO director appears
FALSE:," Ginger, honey, onion and aspirin recipe cure COVID-19."
FALSE:," Text claims that the director of the Public Revenue Office of the Republic of North Macedonia, Sanja Lukarevska, tested positive for coronavirus and went to the hairdresser."
FALSE:, A Colorado bill is “removing exemptions” for parents who don’t want to vaccinate their children in order to attend school.
FALSE:, Drinking pigeon membrane slurry can cure COVID-19.
Partly false:," Fisiol, mucosolvan and fluimucil are reccommended for COVID-19 treatment."
FALSE:, Facebook posts shared thousands of times claim the coronavirus pandemic is a cover for a Gates Foundation-funded effort to implant microchips when patients’ noses or throats are swabbed during COVID-19 testing.
FALSE:, Facebook posts shared thousands of times claim the coronavirus pandemic is a cover for a Gates Foundation-funded effort to implant microchips when patients’ noses or throats are swabbed during COVID-19 testing.
FALSE:, Nanochips were found in COVID-19 vaccines.
FALSE:, Text claims that “two epidemiologists from the Institute of Public Health of the Republic of North Macedonia tested positive for coronavirus.”
FALSE:, Coronavirus is actually an expanded exosome caused by 5G.
FALSE:," Multiple posts shared repeatedly on Facebook state Android users in Australia have been automatically signed up to COVIDSafe, the government’s COVID-19 contact tracing app, through an application programming interface (API) operated by Google."
Misleading:, A chain on plasma donation of recovered COVID-19: any person who has recovered can donate plasma to 9 people.
FALSE:," The Anhembi field hospital, in São Paulo, Brasil is empty. A video allegedly proves it."
FALSE:, Azithromycin and ivermectin are efficient medicines to cure COVID-19.
FALSE:, A WhatsApp message that warns about the installation of an application called “COVID-19 ABTraceTogether”. The chain message asks the reader to to unfriend their friends on Facebook as well as delete their contacts’ phone numbers if they intend to use it because by doing so “everyone your contacts will be known “against” your will and knowledge”.
FALSE:," Tasuku Honjo, Nobel prize winner, stated that the SARS-Cov-2 was made in a lab in Wuhan, where he used to work."
FALSE:, A video where a man accuses the Italian Civil Protection and the government of Regione Piemonte of having distributed protective masks “poisoned” them with zinc pyrithione.
FALSE:," Wearing a mask, the exhaled viruses will not be able to escape and will concentrate in the nasal passages, penetrate the olfactory nerves, and then transit to the brain."
FALSE:, A man says that coronavirus was created to keep people inside homes and install 5G antennas.
FALSE:, List of recommendations from US virologist Robert Ray Redfield that has spread on social media.
FALSE:, Boldo tea prevents COVID-19.
FALSE:, “COV 19” was found inscribed on a circuit board for a 5G mast.
FALSE:, The video shows people running to reopened Masjid Al-Nabawi.
Misleading:, Facebook post claiming that the government of Germany is giving €300 bonus a month for every child with their €130 billion stimulus package following the Covid-19 crisis.
FALSE:, Hand sanitiser can go on fire if left in a car in hot weather.
FALSE:," The Anhembi field hospital, in São Paulo, Brasil is empty. A video allegedly proves it."
FALSE:, List of recommendations from US virologist Robert Ray Redfield that has spread on social media.
FALSE:, A man says that coronavirus was created to keep people inside homes and install 5G antennas.
FALSE:, It is possible to “boost” our immune system.
FALSE:, Dr Uma Kumar from AIIMS Delhi gave interview regarding immunity boosting tips.
FALSE:, Dr Uma Kumar of AIIMS gave an interview on coronavirus.
FALSE:," Wearing a mask, the exhaled viruses will not be able to escape and will concentrate in the nasal passages, penetrate the olfactory nerves, and then transit to the brain."
FALSE:," Audio warns residents of Barranquilla, Colombia, that hospitals are infecting people with COVID-19 to collect compensation."
FALSE:, A WhatsApp message that warns about the installation of an application called “COVID-19 ABTraceTogether”. The chain message asks the reader to to unfriend their friends on Facebook as well as delete their contacts’ phone numbers if they intend to use it because by doing so “everyone your contacts will be known “against” your will and knowledge”.
FALSE:, A video where a man accuses the Italian Civil Protection and the government of Regione Piemonte of having distributed protective masks “poisoned” them with zinc pyrithione.
FALSE:, Brazilia president Jair Bolsonaro was right about efficacy of chloroquine.
MISLEADING:," A meme shared thousands of times on Facebook claims people can suffer from reduced oxygen to their blood and brain, possibly leading to death, if they wear a disposable mask for too long."
FALSE:, Italy has discovered that COVID-19 is a bacterium rather than a virus.
FALSE:," “N95 masks block few, if any” COVID-19 particles due to their size."
MISLEADING:," A picture taken in Colombia which shows a girl who fainted. The caption claims that the vaccine for Covid-19 is starting to be distributed in poorer countries, but 200 girls fainted after the injection."
FALSE:, The use or abuse of the mask produces hypercapnia or hypoxia.
FALSE:," The severity of the Covid-19 Case in Surabaya, Indonesia is caused by a “global elite conspiracy”."
FALSE:," Yopal, Colombia, already has deaths from coronavirus"
FALSE:, Claim that Indian prime minister Modi said one crore (ten million) COVID-19 infected patients have been treated for free.
FALSE:," Maria Virgínia Casagrande, first lady of the Brazilian State of Espirito Santo, was cured of COVID-19 after being treated with a protocol of hydroxychloroquine and azithromycin."
FALSE:," Renata Vasconcellos, one of Brazil’s most famous news anchor, contracted COVID-19."
FALSE:," A WhatsApp message claiming that, once installed, the “Immuni” app (the Italian national contact-tracing application), will acquire users’ phonebooks."
FALSE:, A text message states that Facebook would have taken advantage of the chaos created by Covid-19 to gain permission to use our personal pictures.
FALSE:, Bill Gates’ coronavirus vaccine developed by Oxford researchers caused all test subjects to get coronavirus.
FALSE:," Pedro Sánchez, President of Spain, said this Wednesday, June 3 in the Congress of Deputies, that “today we have 0 deceased in our country as a result of COVID” and that Pablo Casado should be happy that “we haven’t had any death by COVID-19 over the past two days”."
FALSE:," A video claims to show a “deadly insect attack” in China, India and Iran, in which the insect can supposedly kill a person with just one bite."
FALSE:, The use or abuse of the mask produces hypercapnia or hypoxia.
FALSE:," “N95 masks block few, if any” COVID-19 particles due to their size."
FALSE:," Renata Vasconcellos, one of Brazil’s most famous news anchor, contracted COVID-19."
FALSE:," A WhatsApp message claiming that, once installed, the “Immuni” app (the Italian national contact-tracing application), will acquire users’ phonebooks."
MISLEADING:," A meme shared thousands of times on Facebook claims people can suffer from reduced oxygen to their blood and brain, possibly leading to death, if they wear a disposable mask for too long."
FALSE:," A video claims to show a “deadly insect attack” in China, India and Iran, in which the insect can supposedly kill a person with just one bite."
Misleading:, Google is secretly installing a COVID-19 app on mobile phones to monitor user’s movements in Spain.
Partly false:," On May 13, the representative of Tolima, Colombia, for the Conservative party José Elver Hernández tweeted a claim in his Twitter account in which he asks Finagro and the Agrarian Bank for explanations about the resources for small entrepreneurs."
FALSE:, Smelling vinegar is not a definitive test to detect symptoms of COVID-19.
FALSE:," Bill Gates says that the COVID-19 vaccine could kill 700,000 people."
FALSE:," An article circulating on Facebook and Twitter claims that Nigerian schools will reopen on July 13, 2020, according to a government official."
FALSE:, This cyclist died due to lack of oxygen he was wearing a mask.
FALSE:, Japanese Nobel laureate Dr. Tasuku Honjo has said China manufactured coronavirus and he once worked at the Wuhan lab which later produced it.
FALSE:, “She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”
FALSE:, Claim that Indian prime minister Modi said one crore (ten million) COVID-19 infected patients have been treated for free.
FALSE:, This cyclist died due to lack of oxygen he was wearing a mask.
FALSE:, Smelling vinegar is not a definitive test to detect symptoms of COVID-19.
Partly false:," On May 13, the representative of Tolima, Colombia, for the Conservative party José Elver Hernández tweeted a claim in his Twitter account in which he asks Finagro and the Agrarian Bank for explanations about the resources for small entrepreneurs."
FALSE:, The herb named “holy leaf” or “momo” cures COVID-19 and helps patients breathe.
FALSE:, President of Mexico has proposed to collect taxes for having pets to cover social programs by COVID-19.
FALSE:, Drinking pigeon membrane slurry can cure COVID-19.
Misleading:," Despite the fact that the government has not reported a possible resumption of work at the airport, there are airlines that already sell tickets for commercial flights."
FALSE:," A scientific study about the new coronavirus according to which asymptomatic people would not be contagious. The study was conducted in China and it monitored 455 people who got in touch with a 22-years-old asymptomatic patient who tested positive for Covid-19, claiming that none of them caught the disease"
FALSE:," There were no COVID-19 deaths in Belém, Brazil, on May 30 and May 31."
MISLEADING:," A viral message circulating on WhatsApp claims that a vaccine would be available in September 2020, “thus ending speculation that the vaccine would not be available until 2021”."
FALSE:, French “Stopcovid” case-tracking app has been secretly installed on smartphones.
FALSE:," A report drafted by a scientific panel appointed by Germany’s Interior Ministry, declaring the COVID-19 pandemic is a “global false alarm”, was leaked by a former employee."
FALSE:," An article circulating on Facebook and Twitter claims that Nigerian schools will reopen on July 13, 2020, according to a government official."
FALSE:, “She’s just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.”
FALSE:, Claim that Indian prime minister Modi said one crore (ten million) COVID-19 infected patients have been treated for free.
FALSE:," A mixture of alcoholic beverage Tanduay, disinfectant cleaner Zonrox, and other products like cologne and hand sanitizer can be used as alcohol or hand sanitizer."
FALSE:, A cure for COVID-19 was discovered in Italy.
FALSE:," Indian Home Minister Amit Shah said that the government transferred financial aid of Rs 530 million into the bank accounts of 410 million people during the coronavirus pandemic, which means Rs 1.29 for each person."
Partly false:," On May 13, the representative of Tolima, Colombia, for the Conservative party José Elver Hernández tweeted a claim in his Twitter account in which he asks Finagro and the Agrarian Bank for explanations about the resources for small entrepreneurs."
FALSE:," A beverage with aspirin, lemon and hot water cures the coronavirus."
FALSE:, Alkaline water cures the coronavirus.
FALSE:," Italy did not follow WHO protocol and did an autopsy on a corpse that died from Covid-19 and realised that coronavirus is actually not a virus but a bacterium which gets amplified with 5G electromagnetic radiation that also produces inflammation and hypoxia, and multiple other claims."
Misleading:, Coronavirus is defeated. There is a cure using antibodies.
FALSE:, These images show bodies of COVID19 patient dead in the streets in America.
MISLEADING:," A COVID vaccine was developed in Naigaon, in the state of Assam (India)."
Misleading:," Donald Trump has stopped 5G, has canceled Bill Gates’ ID2020 and H.R. 6666 Covid-19 Trace bill."
FALSE:," President of Mexico proposes to collect a tax of 500 pesos for each pet, to pay for social programs related to COVID-19."
FALSE:, Gujarat CM Vijay Rupani said that his government provided ration to 650 million people during the lockdown.
partly false:, Colombian Minister of Health said that Colombia has more ICU than Holland.
FALSE:, Indian Prime minister Narendra Modi said 10 million COVID-19 patients have been treated for free in India.
FALSE:, US President Donald Trump wanted to ruin Americans using coronavirus as a weapon. Thousands of people are protesting on the streets against that.
